buggy,Requirement ID,Project name,dataset,date,measurementDateName,DA_ACT,DA_CND,DA_CNT,DA_IMP,DA_INC,DA_OPT,DA_SRC,DA_WKP,EX_DIR,EX_VRB,EX_SBJ,EX_RDS,EX_ACD,EX_AMG,EX_ICP,EX_CNS,EX_ENT,IT_POL,IT_SUB,EX_COD,CM_NNS,CM_PNS,CM_ONS
"0","HBASE-10087","HBASE","apachejit","2013-12-05","OneSecondBeforeFirstAssignmentDate","3","0","0","1","0","0","0","0","0","3","5","80.28","0.15789473684210525","1","0","16","1","0.0","0.0","False","0","0","0"
"1","HBASE-1009","HBASE","apachejit","2008-11-20","OneSecondBeforeFirstAssignmentDate","80","0","0","0","0","0","0","0","0","80","173","6.67","0.08620689655172414","0","0","491","63","0.0","0.75","True","1","0.5","1"
"0","HBASE-10094","HBASE","apachejit","2013-12-06","OneSecondBeforeFirstAssignmentDate","20","0","0","0","0","1","0","1","0","20","40","65.62","0.13513513513513514","0","0","128","5","0.049999999999999996","0.5499999999999999","True","0","0","0"
"0","HBASE-1010","HBASE","apachejit","2008-11-19","OneSecondBeforeFirstAssignmentDate","9","0","0","0","0","0","0","0","0","9","21","-126.46","0.0743801652892562","0","0","50","7","-0.3","0.2","True","0","0","0"
"1","HBASE-10101","HBASE","apachejit","2013-12-08","OneSecondBeforeFirstAssignmentDate","6","0","0","0","0","1","0","0","0","6","8","71.51","0.15384615384615385","0","0","33","0","-0.03181818181818183","0.42727272727272725","False","2","0.4","1"
"0","HBASE-10106","HBASE","apachejit","2013-12-08","OneSecondBeforeFirstAssignmentDate","2","0","0","0","0","0","40","0","1","2","24","-79.46","0.009345794392523364","1","0","71","6","0.02474747474747474","0.6213804713804714","True","0","0","0"
"0","HBASE-10108","HBASE","apachejit","2013-12-09","OneSecondBeforeFirstAssignmentDate","7","0","0","1","0","0","1","0","0","7","22","-19.53","0.06542056074766354","0","0","60","9","0.05","0.25","True","1","0.2","1"
"0","HBASE-10110","HBASE","apachejit","2013-12-09","OneSecondBeforeFirstAssignmentDate","0","0","0","0","0","0","0","0","0","0","3","48.47","0.0","0","0","6","1","0.0","1.0","False","0","0","0"
"0","HBASE-10116","HBASE","apachejit","2013-12-10","OneSecondBeforeFirstAssignmentDate","7","0","0","0","0","1","0","0","0","7","13","28.91","0.1346153846153846","0","0","43","4","0.3416666666666667","0.6000000000000001","False","0","0","0"
"1","HBASE-10117","HBASE","apachejit","2013-12-10","OneSecondBeforeFirstAssignmentDate","15","1","0","0","0","1","0","0","0","15","28","52.26","0.13636363636363635","0","0","86","2","0.004861111111111108","0.6409722222222223","False","1","0.2","1"
"1","HBASE-10123","HBASE","apachejit","2014-01-14","OneSecondBeforeFirstAssignmentDate","13","0","0","1","0","1","1","0","0","13","21","63.7","0.15853658536585366","1","0","64","2","-0.022222222222222216","0.7777777777777778","True","3","0.3","1"
"0","HBASE-10124","HBASE","apachejit","2013-12-10","OneSecondBeforeFirstAssignmentDate","4","1","0","1","0","0","0","0","0","4","8","84.68","0.0975609756097561","1","0","36","1","0.12250000000000001","0.5616666666666668","True","0","0","0"
"0","HBASE-10130","HBASE","apachejit","2014-01-05","OneSecondBeforeFirstAssignmentDate","13","1","1","0","0","1","2","0","0","13","21","28.7","0.09558823529411764","0","0","74","8","-0.26363636363636367","0.39621212121212124","True","1","1.0","1"
"1","HBASE-10134","HBASE","apachejit","2013-12-12","OneSecondBeforeFirstAssignmentDate","4","0","0","0","0","0","0","0","0","4","22","-115.13","0.05555555555555555","0","0","44","9","-0.33888888888888885","0.5888888888888889","True","0","0.0","0"
"1","HBASE-10138","HBASE","apachejit","2013-12-13","OneSecondBeforeFirstAssignmentDate","10","1","0","2","1","0","3","0","0","10","24","63.09","0.08849557522123894","2","0","87","4","-0.1296875","0.5458333333333334","True","0","0.0","0"
"1","HBASE-10141","HBASE","apachejit","2013-12-12","OneSecondBeforeFirstAssignmentDate","2","0","0","0","0","0","0","0","0","2","4","83.66","0.13333333333333333","0","0","13","0","0.0","0.0","False","0","0","0"
"0","HBASE-10143","HBASE","apachejit","2013-12-12","OneSecondBeforeFirstAssignmentDate","1","0","0","0","0","0","0","0","0","1","2","89.75","0.125","0","0","7","0","0.05555555555555556","0.3666666666666667","False","0","0","0"
"1","HBASE-10148","HBASE","apachejit","2013-12-12","OneSecondBeforeFirstAssignmentDate","18","1","0","1","0","0","26","0","1","18","50","-106.16","0.04477611940298507","1","0","157","9","0.08257575757575758","0.6234848484848485","True","0","0","0"
"1","HBASE-10151","HBASE","apachejit","2013-12-13","OneSecondBeforeFirstAssignmentDate","4","0","0","0","0","0","0","0","0","4","5","34.26","0.14814814814814814","0","0","20","0","0.1","0.2","False","0","0","0"
"1","HBASE-10153","HBASE","apachejit","2014-08-26","OneSecondBeforeFirstAssignmentDate","8","2","0","3","0","2","0","0","6","8","26","64.0","0.07017543859649122","1","0","94","11","0.22000000000000003","0.45999999999999996","True","0","0.0","0"
"0","HBASE-10159","HBASE","apachejit","2013-12-13","OneSecondBeforeFirstAssignmentDate","10","0","0","0","0","2","1","0","1","10","13","35.74","0.16393442622950818","2","0","51","5","0.12222222222222223","0.6000000000000001","False","0","0","0"
"0","HBASE-10163","HBASE","apachejit","2013-12-13","OneSecondBeforeFirstAssignmentDate","4","0","0","0","0","1","0","0","0","4","36","60.28","0.024691358024691357","0","0","91","16","-0.10714285714285714","0.3571428571428571","True","0","0","0"
"1","HBASE-10169","HBASE","apachejit","2013-12-16","OneSecondBeforeFirstAssignmentDate","12","2","0","5","0","0","0","0","0","12","27","59.94","0.09022556390977443","0","0","118","3","-0.06857142857142857","0.2907142857142857","False","0","0.0","0"
"1","HBASE-1017","HBASE","apachejit","2009-03-10","OneSecondBeforeFirstAssignmentDate","43","3","0","1","0","1","1","0","0","43","85","53.68","0.09368191721132897","0","0","313","45","-0.051130050505050505","0.5191035353535354","True","0","0.0","0"
"0","HBASE-10173","HBASE","apachejit","2013-12-16","OneSecondBeforeFirstAssignmentDate","6","0","0","0","0","2","0","0","0","6","16","60.92","0.10344827586206896","1","0","52","4","0.5","0.5","False","0","0","0"
"0","HBASE-10184","HBASE","apachejit","2013-12-17","OneSecondBeforeFirstAssignmentDate","5","0","0","1","0","0","0","0","1","5","22","80.58","0.049019607843137254","3","0","77","9","0.0","0.0","False","0","0","0"
"0","HBASE-10189","HBASE","apachejit","2013-12-17","OneSecondBeforeFirstAssignmentDate","1","0","0","0","0","0","1","0","0","1","19","-101.9","0.013888888888888888","0","0","34","6","-0.5333333333333333","0.65","True","1","0.5","1"
"1","HBASE-10193","HBASE","apachejit","2013-12-18","OneSecondBeforeFirstAssignmentDate","12","4","0","0","0","2","0","0","0","12","17","62.31","0.1411764705882353","1","1","77","1","-0.045454545454545456","0.4681818181818182","False","0","0","0"
"1","HBASE-10196","HBASE","apachejit","2013-12-18","OneSecondBeforeFirstAssignmentDate","2","0","0","0","0","0","0","0","0","2","3","61.33","0.18181818181818182","0","0","10","0","0.0","0.0","False","0","0","0"
"1","HBASE-10200","HBASE","apachejit","2014-09-30","OneSecondBeforeFirstAssignmentDate","17","3","0","2","0","1","1","0","0","17","56","-1.7","0.08717948717948718","2","0","109","10","0.0","0.41500000000000004","True","2","0.3333333333333333","1"
"1","HBASE-10201","HBASE","apachejit","2014-10-27","OneSecondBeforeFirstAssignmentDate","9","1","0","0","0","0","0","0","0","9","12","59.8","0.15789473684210525","1","1","46","0","0.03571428571428572","0.4380952380952381","False","2","0.08333333333333333","1"
"1","HBASE-10205","HBASE","apachejit","2013-12-19","OneSecondBeforeFirstAssignmentDate","14","0","0","0","0","1","0","0","0","14","24","6.37","0.14285714285714285","1","0","69","7","0.0","0.125","False","0","0","0"
"1","HBASE-10207","HBASE","apachejit","2013-12-19","OneSecondBeforeFirstAssignmentDate","1","0","0","0","0","0","0","0","0","1","2","-20.24","0.1111111111111111","0","0","8","0","0.0","0.0","False","0","0","0"
"1","HBASE-10213","HBASE","apachejit","2013-12-20","OneSecondBeforeFirstAssignmentDate","11","1","0","0","0","3","0","0","0","11","22","51.38","0.125","2","0","79","2","0.1277777777777778","0.4092592592592592","False","0","0.0","0"
"0","HBASE-1022","HBASE","apachejit","2008-11-24","OneSecondBeforeFirstAssignmentDate","2","0","0","0","0","0","0","0","0","2","3","106.67","0.25","0","0","7","0","0.0","0.0","False","0","0.0","0"
"1","HBASE-10226","HBASE","apachejit","2013-12-23","OneSecondBeforeFirstAssignmentDate","4","0","0","0","0","0","0","0","2","4","9","68.47","0.10526315789473684","0","0","34","0","0.0","0.0","False","0","0","0"
"0","HBASE-1023","HBASE","apachejit","2008-11-23","OneSecondBeforeFirstAssignmentDate","41","0","0","0","0","0","24","0","0","41","192","38.58","0.05043050430504305","1","0","413","93","-0.046875","0.22031249999999997","True","0","0","0"
"0","HBASE-10231","HBASE","apachejit","2013-12-24","OneSecondBeforeFirstAssignmentDate","5","1","0","0","0","0","1","0","0","5","10","19.74","0.08333333333333333","0","0","38","3","-0.175","0.625","True","0","0.0","0"
"0","HBASE-10238","HBASE","apachejit","2013-12-25","OneSecondBeforeFirstAssignmentDate","19","1","0","0","0","1","0","0","0","19","45","-28.9","0.11728395061728394","0","0","95","5","-0.275","0.32499999999999996","True","0","0","0"
"1","HBASE-10239","HBASE","apachejit","2013-12-26","OneSecondBeforeFirstAssignmentDate","5","0","0","0","0","0","0","0","0","5","13","36.66","0.1111111111111111","0","0","37","0","0.5","0.9","True","0","0","0"
"0","HBASE-10240","HBASE","apachejit","2013-12-26","OneSecondBeforeFirstAssignmentDate","4","0","0","0","0","0","0","0","0","4","4","65.39","0.2","0","0","18","3","0.125","0.625","False","0","0","0"
"1","HBASE-10246","HBASE","apachejit","2013-12-27","OneSecondBeforeFirstAssignmentDate","5","0","0","1","0","0","0","0","0","5","9","-7.18","0.08928571428571429","1","0","43","1","-0.026515151515151516","0.2977272727272727","False","0","0.0","0"
"0","HBASE-10249","HBASE","apachejit","2013-12-27","OneSecondBeforeFirstAssignmentDate","1","0","0","0","0","0","0","0","0","1","4","32.56","0.08333333333333333","0","0","10","0","-0.09015151515151518","0.37727272727272726","False","0","0","0"
"0","HBASE-10251","HBASE","apachejit","2013-12-27","OneSecondBeforeFirstAssignmentDate","23","2","0","2","0","3","1","0","0","23","43","66.74","0.11165048543689321","3","0","169","6","-0.021527777777777774","0.3576388888888889","True","0","0","0"
"0","HBASE-10252","HBASE","apachejit","2013-12-29","OneSecondBeforeFirstAssignmentDate","15","4","0","0","0","0","1","0","0","15","37","61.8","0.09259259259259259","0","0","134","11","0.24125874125874125","0.42983682983682986","True","0","0","0"
"0","HBASE-10255","HBASE","apachejit","2013-12-29","OneSecondBeforeFirstAssignmentDate","8","0","0","0","0","0","0","0","0","8","12","35.44","0.14814814814814814","0","0","42","3","-0.03333333333333333","0.43333333333333335","False","0","0","0"
"1","HBASE-10260","HBASE","apachejit","2013-12-31","OneSecondBeforeFirstAssignmentDate","3","1","0","0","0","0","0","0","0","3","4","30.02","0.15789473684210525","0","1","15","0","0.0","0.1","False","0","0","0"
"1","HBASE-10263","HBASE","apachejit","2013-12-31","OneSecondBeforeFirstAssignmentDate","19","4","0","0","0","3","9","0","4","19","42","36.63","0.076","2","0","182","9","-0.13072916666666665","0.3729166666666666","False","0","0","0"
"0","HBASE-10264","HBASE","apachejit","2014-01-01","OneSecondBeforeFirstAssignmentDate","11","0","0","0","0","0","4","0","0","11","44","-143.69","0.05527638190954774","0","0","82","11","-0.18263888888888888","0.30972222222222223","True","0","0","0"
"1","HBASE-10267","HBASE","apachejit","2014-01-02","OneSecondBeforeFirstAssignmentDate","1","0","0","0","0","0","0","0","0","1","1","-75.4","0.25","0","0","3","0","-0.5","0.3","False","0","0","0"
"1","HBASE-10268","HBASE","apachejit","2014-01-08","OneSecondBeforeFirstAssignmentDate","3","1","0","0","0","0","0","0","0","3","7","62.64","0.09375","0","0","26","6","-0.3333333333333333","0.5333333333333333","False","3","0.5","1"
"0","HBASE-10272","HBASE","apachejit","2014-01-03","OneSecondBeforeFirstAssignmentDate","26","2","0","4","0","0","2","0","3","26","81","-55.09","0.06860158311345646","0","0","224","19","-0.1597979797979798","0.32363636363636356","True","0","0","0"
"0","HBASE-10274","HBASE","apachejit","2014-01-05","OneSecondBeforeFirstAssignmentDate","6","1","0","2","0","0","0","0","0","6","7","44.41","0.15789473684210525","1","1","30","3","0.1","0.4","False","0","0.0","0"
"1","HBASE-10277","HBASE","apachejit","2014-01-04","OneSecondBeforeFirstAssignmentDate","26","2","1","1","0","3","2","0","0","26","62","53.85","0.09059233449477352","3","0","232","10","0.0988095238095238","0.4382936507936508","True","0","0","0"
"1","HBASE-10289","HBASE","apachejit","2014-04-29","OneSecondBeforeFirstAssignmentDate","12","3","0","2","0","4","0","0","0","12","20","76.62","0.125","1","0","81","5","-0.22916666666666666","0.375","False","7","0.25925925925925924","1"
"0","HBASE-1029","HBASE","apachejit","2008-11-28","OneSecondBeforeFirstAssignmentDate","16","0","0","1","0","1","10","0","0","16","27","41.9","0.1095890410958904","0","0","111","4","0.025","0.775","True","0","0.0","0"
"0","HBASE-10292","HBASE","apachejit","2014-01-07","OneSecondBeforeFirstAssignmentDate","3","0","0","0","0","0","0","0","0","3","4","-35.43","0.15789473684210525","0","0","16","0","-0.26625","0.31125","False","0","0","0"
"0","HBASE-10294","HBASE","apachejit","2014-01-10","OneSecondBeforeFirstAssignmentDate","9","0","0","0","0","1","1","0","1","9","15","9.75","0.10465116279069768","2","0","57","3","-0.16249999999999998","0.6166666666666667","True","0","0.0","0"
"1","HBASE-10297","HBASE","apachejit","2014-01-08","OneSecondBeforeFirstAssignmentDate","0","0","0","0","0","0","0","0","0","0","2","-27.68","0.0","0","0","6","0","0.0","0.0","False","0","0","0"
"0","HBASE-10298","HBASE","apachejit","2014-01-08","OneSecondBeforeFirstAssignmentDate","2","0","0","0","0","0","0","0","0","2","0","-8.73","0.2857142857142857","0","0","4","1","-0.25","0.2125","False","0","0","0"
"0","HBASE-10301","HBASE","apachejit","2014-01-08","OneSecondBeforeFirstAssignmentDate","22","0","0","1","0","0","0","0","0","22","99","-136.55","0.056555269922879174","1","0","172","22","-0.09145021645021645","0.36520562770562764","True","2","1.0","1"
"1","HBASE-10314","HBASE","apachejit","2014-01-10","OneSecondBeforeFirstAssignmentDate","2","0","0","0","0","0","0","0","0","2","3","80.28","0.2","0","1","8","1","-0.05","0.0","False","0","0","0"
"1","HBASE-10322","HBASE","apachejit","2014-01-12","OneSecondBeforeFirstAssignmentDate","36","7","1","4","0","0","1","0","1","36","60","85.39","0.14516129032258066","7","0","214","14","0.09791666666666665","0.2699404761904762","False","0","0","0"
"0","HBASE-10323","HBASE","apachejit","2014-01-12","OneSecondBeforeFirstAssignmentDate","23","2","1","0","0","0","0","0","1","23","38","39.84","0.11979166666666667","0","0","160","5","0.02569444444444444","0.38819444444444434","False","0","0","0"
"1","HBASE-10324","HBASE","apachejit","2014-01-12","OneSecondBeforeFirstAssignmentDate","20","0","0","4","0","1","11","0","0","20","21","24.85","0.11627906976744186","4","0","114","5","0.17045454545454544","0.40984848484848485","False","0","0","0"
"0","HBASE-10330","HBASE","apachejit","2014-06-27","OneSecondBeforeFirstAssignmentDate","9","0","0","0","0","1","1","0","1","9","15","35.95","0.140625","1","0","50","1","0.07500000000000001","0.775","False","0","0.0","0"
"0","HBASE-10331","HBASE","apachejit","2014-01-13","OneSecondBeforeFirstAssignmentDate","2","0","0","0","0","0","0","0","0","2","3","29.52","0.2222222222222222","0","1","8","0","0.0","0.0","False","0","0","0"
"1","HBASE-10337","HBASE","apachejit","2014-02-03","OneSecondBeforeFirstAssignmentDate","12","1","0","0","0","0","0","0","0","12","19","69.18","0.11214953271028037","1","0","85","3","-0.030612244897959186","0.41422902494331065","False","2","0.2857142857142857","1"
"1","HBASE-10338","HBASE","apachejit","2014-01-14","OneSecondBeforeFirstAssignmentDate","7","1","0","0","0","0","0","0","0","7","9","41.36","0.16666666666666666","0","1","39","2","-0.5","0.3","False","0","0","0"
"0","HBASE-10339","HBASE","apachejit","2014-01-14","OneSecondBeforeFirstAssignmentDate","9","1","0","0","0","0","0","0","0","9","10","79.6","0.15517241379310345","0","0","51","2","0.12159090909090908","0.44696969696969696","False","0","0","0"
"0","HBASE-1034","HBASE","apachejit","2008-11-28","OneSecondBeforeFirstAssignmentDate","5","0","0","0","0","0","0","0","0","5","4","79.77","0.25","0","0","17","0","-0.34375","0.35","False","0","0","0"
"0","HBASE-10344","HBASE","apachejit","2014-01-15","OneSecondBeforeFirstAssignmentDate","20","4","0","0","0","2","4","0","0","20","29","69.82","0.15151515151515152","1","1","110","0","-0.08214285714285714","0.46071428571428574","False","0","0","0"
"0","HBASE-10364","HBASE","apachejit","2014-01-16","OneSecondBeforeFirstAssignmentDate","14","0","0","2","0","2","1","0","0","14","34","42.98","0.09523809523809523","2","0","104","10","-0.1875","0.5062500000000001","True","0","0","0"
"1","HBASE-10366","HBASE","apachejit","2014-01-16","OneSecondBeforeFirstAssignmentDate","10","1","0","2","0","2","0","0","0","10","20","52.15","0.09803921568627451","0","0","76","9","0.10333333333333332","0.6766666666666666","True","0","0","0"
"0","HBASE-10368","HBASE","apachejit","2014-01-16","OneSecondBeforeFirstAssignmentDate","11","0","0","0","0","1","1","2","0","11","21","79.97","0.10784313725490197","0","0","84","8","0.234375","0.490625","False","0","0","0"
"0","HBASE-1037","HBASE","apachejit","2008-11-28","OneSecondBeforeFirstAssignmentDate","6","0","0","0","0","0","3","0","0","6","15","54.69","0.10344827586206896","1","0","43","3","-0.32916666666666666","0.32499999999999996","False","0","0","0"
"0","HBASE-10370","HBASE","apachejit","2014-01-17","OneSecondBeforeFirstAssignmentDate","28","0","0","2","0","2","6","0","0","28","94","46.33","0.07035175879396985","0","0","249","13","-0.4166666666666667","0.2708333333333333","True","2","0.5","1"
"0","HBASE-10384","HBASE","apachejit","2014-01-20","OneSecondBeforeFirstAssignmentDate","11","0","0","0","0","1","0","0","0","11","28","13.31","0.061452513966480445","1","0","89","11","-0.07537878787878788","0.3306818181818182","True","0","0","0"
"1","HBASE-1039","HBASE","apachejit","2008-12-03","OneSecondBeforeFirstAssignmentDate","10","1","0","1","0","1","0","0","1","10","36","-35.94","0.06993006993006994","0","0","82","5","-0.21979166666666666","0.42187499999999994","True","6","0.6","1"
"0","HBASE-10395","HBASE","apachejit","2014-01-22","OneSecondBeforeFirstAssignmentDate","14","5","1","1","0","1","0","0","0","14","32","51.34","0.07142857142857142","0","0","125","6","-0.3482142857142857","0.7428571428571429","True","0","0.0","0"
"1","HBASE-10400","HBASE","apachejit","2014-01-22","OneSecondBeforeFirstAssignmentDate","8","1","0","0","0","0","0","0","0","8","12","66.23","0.125","0","0","54","1","-0.03333333333333333","0.16666666666666666","False","0","0","0"
"1","HBASE-10401","HBASE","apachejit","2014-01-22","OneSecondBeforeFirstAssignmentDate","15","0","0","0","0","2","0","0","0","15","31","65.01","0.11904761904761904","0","0","103","4","-0.04772727272727273","0.33409090909090905","False","0","0","0"
"0","HBASE-10406","HBASE","apachejit","2014-01-23","OneSecondBeforeFirstAssignmentDate","3","0","0","0","0","0","0","0","0","3","20","-34.72","0.0410958904109589","0","0","41","4","-0.30166666666666664","0.41500000000000004","True","0","0","0"
"0","HBASE-10408","HBASE","apachejit","2014-01-23","OneSecondBeforeFirstAssignmentDate","3","0","0","0","0","0","0","0","0","3","20","-34.72","0.0410958904109589","0","0","41","4","-0.30166666666666664","0.41500000000000004","True","0","0","0"
"0","HBASE-10409","HBASE","apachejit","2014-01-23","OneSecondBeforeFirstAssignmentDate","12","1","0","1","0","0","0","0","0","12","19","22.41","0.1411764705882353","1","1","63","3","0.07142857142857142","0.5095238095238095","True","0","0","0"
"1","HBASE-10412","HBASE","apachejit","2014-01-24","OneSecondBeforeFirstAssignmentDate","4","0","0","0","0","0","0","0","0","4","6","90.46","0.17391304347826086","0","0","20","2","0.0","0.0","False","0","0","0"
"1","HBASE-10413","HBASE","apachejit","2014-01-31","OneSecondBeforeFirstAssignmentDate","26","0","0","1","0","1","1","0","0","26","44","61.06","0.14207650273224043","2","0","156","11","0.11928571428571429","0.3488095238095238","True","0","0.0","0"
"0","HBASE-10419","HBASE","apachejit","2014-01-25","OneSecondBeforeFirstAssignmentDate","4","0","0","0","0","1","0","0","0","4","5","47.45","0.25","0","0","14","1","0.3","0.0","False","0","0","0"
