RequirementID,ProjectName,Buggy,MaxSimilarity_TF-IDF_Cosine_Title,AvgSimilarity_TF-IDF_Cosine_Title,MaxSimilarity_Jaccard_Title,AvgSimilarity_Jaccard_Title,MaxSimilarity_EuclideanDistance_Title,AvgSimilarity_EuclideanDistance_Title,MaxSimilarity_TF-IDF_Cosine_Text,AvgSimilarity_TF-IDF_Cosine_Text,MaxSimilarity_Jaccard_Text,AvgSimilarity_Jaccard_Text,MaxSimilarity_EuclideanDistance_Text,AvgSimilarity_EuclideanDistance_Text
HIVE-47,HIVE,1.0,0.0000,0.0000,0.0000,0.0000,0.0066,0.0046,1.0000,0.3414,0.0323,0.0105,0.0040,0.0025
HIVE-114,HIVE,1.0,1.0000,0.3333,0.0714,0.0212,0.0063,0.0046,1.0000,0.1667,0.0370,0.0062,0.0042,0.0030
HIVE-147,HIVE,1.0,0.0000,0.0000,0.0000,0.0000,0.0078,0.0050,0.7071,0.1835,0.0625,0.0121,0.0041,0.0025
HIVE-169,HIVE,0.0,1.0000,0.1250,0.0526,0.0066,0.0070,0.0045,1.0000,0.1553,0.0435,0.0104,0.0051,0.0026
HIVE-168,HIVE,1.0,1.0000,0.3384,0.0909,0.0296,0.0066,0.0051,0.8242,0.1030,0.0208,0.0026,0.0034,0.0021
HIVE-180,HIVE,1.0,0.0000,0.0000,0.0000,0.0000,0.0064,0.0048,1.0000,0.2222,0.0909,0.0170,0.0047,0.0033
HIVE-104,HIVE,1.0,0.0000,0.0000,0.0000,0.0000,0.0075,0.0043,0.7071,0.1541,0.0500,0.0115,0.0042,0.0025
HIVE-170,HIVE,1.0,1.0000,0.2727,0.2500,0.0386,0.0109,0.0052,0.9487,0.2082,0.0556,0.0116,0.0055,0.0026
HIVE-126,HIVE,0.0,1.0000,0.0833,0.0714,0.0060,0.0065,0.0044,1.0000,0.4928,0.0588,0.0248,0.0046,0.0025
HIVE-186,HIVE,1.0,1.0000,0.1667,0.1000,0.0135,0.0111,0.0046,1.0000,0.3233,0.0313,0.0107,0.0040,0.0024
HIVE-197,HIVE,0.0,0.0000,0.0000,0.0000,0.0000,0.0082,0.0056,1.0000,0.0769,0.0769,0.0059,0.0039,0.0022
HIVE-194,HIVE,1.0,0.0000,0.0000,0.0000,0.0000,0.0073,0.0045,1.0000,0.1381,0.0303,0.0039,0.0041,0.0024
HIVE-196,HIVE,0.0,0.0000,0.0000,0.0000,0.0000,0.0057,0.0045,0.7071,0.1010,0.0303,0.0038,0.0048,0.0024
HIVE-202,HIVE,1.0,0.7071,0.2349,0.2222,0.0387,0.0058,0.0046,1.0000,0.2935,0.1364,0.0243,0.0045,0.0035
HIVE-48,HIVE,1.0,1.0000,0.0667,0.0909,0.0061,0.0090,0.0045,1.0000,0.2437,0.0278,0.0063,0.0039,0.0022
HIVE-84,HIVE,1.0,1.0000,0.3567,0.2857,0.0489,0.0110,0.0052,0.7574,0.1888,0.0170,0.0072,0.0044,0.0024
HIVE-203,HIVE,1.0,0.7071,0.0416,0.0909,0.0053,0.0076,0.0049,1.0000,0.1697,0.0769,0.0119,0.0053,0.0043
HIVE-220,HIVE,0.0,0.0000,0.0000,0.0000,0.0000,0.0075,0.0044,1.0000,0.2557,0.0833,0.0115,0.0041,0.0031
HIVE-142,HIVE,1.0,0.0000,0.0000,0.0000,0.0000,0.0074,0.0052,1.0000,0.3617,0.0306,0.0136,0.0046,0.0024
HIVE-163,HIVE,1.0,1.0000,0.1053,0.0909,0.0096,0.0064,0.0050,1.0000,0.2685,0.0541,0.0108,0.0061,0.0025
HIVE-222,HIVE,0.0,0.0000,0.0000,0.0000,0.0000,0.0074,0.0044,0.9995,0.2010,0.0289,0.0083,0.0047,0.0021
HIVE-228,HIVE,0.0,0.0000,0.0000,0.0000,0.0000,0.0071,0.0048,0.7071,0.1223,0.0526,0.0095,0.0048,0.0030
HIVE-239,HIVE,1.0,0.8944,0.0697,0.0588,0.0057,0.0074,0.0044,1.0000,0.1566,0.0588,0.0085,0.0043,0.0037
HIVE-25,HIVE,1.0,1.0000,0.3095,0.2222,0.0451,0.0060,0.0046,1.0000,0.2207,0.0755,0.0123,0.0026,0.0014
HIVE-91,HIVE,1.0,1.0000,0.1231,0.2727,0.0176,0.0064,0.0044,1.0000,0.3260,0.0606,0.0202,0.0050,0.0023
HIVE-242,HIVE,0.0,1.0000,0.3111,0.0833,0.0265,0.0067,0.0042,0.0000,0.0000,0.0000,0.0000,0.0040,0.0030
HIVE-244,HIVE,1.0,1.0000,0.0435,0.1429,0.0062,0.0095,0.0064,0.0000,0.0000,0.0000,0.0000,0.0044,0.0030
HIVE-246,HIVE,1.0,1.0000,0.3628,0.1818,0.0368,0.0076,0.0048,1.0000,0.2207,0.0571,0.0100,0.0043,0.0025
HIVE-248,HIVE,1.0,1.0000,0.3249,0.1429,0.0291,0.0070,0.0042,0.9981,0.2269,0.0294,0.0078,0.0036,0.0020
HIVE-176,HIVE,1.0,1.0000,0.0769,0.1250,0.0072,0.0075,0.0047,0.8165,0.2310,0.0513,0.0122,0.0045,0.0022
HIVE-179,HIVE,1.0,1.0000,0.1481,0.1111,0.0156,0.0071,0.0049,0.9997,0.2464,0.0308,0.0096,0.0036,0.0020
HIVE-105,HIVE,1.0,1.0000,0.0357,0.0556,0.0020,0.0088,0.0045,0.8911,0.2507,0.0314,0.0104,0.0046,0.0021
HIVE-256,HIVE,0.0,1.0000,0.0998,0.0714,0.0066,0.0101,0.0044,0.9192,0.1373,0.1034,0.0128,0.0050,0.0032
HIVE-263,HIVE,0.0,1.0000,0.1522,0.1111,0.0151,0.0085,0.0047,1.0000,0.2723,0.0323,0.0089,0.0051,0.0021
HIVE-30,HIVE,1.0,1.0000,0.0345,0.1250,0.0043,0.0095,0.0072,1.0000,0.3002,0.0408,0.0121,0.0043,0.0021
HIVE-255,HIVE,1.0,1.0000,0.3433,0.0769,0.0271,0.0218,0.0049,1.0000,0.2405,0.0488,0.0119,0.0044,0.0024
HIVE-269,HIVE,1.0,1.0000,0.1290,0.3333,0.0222,0.0066,0.0049,0.7071,0.0274,0.0286,0.0012,0.0054,0.0021
HIVE-283,HIVE,1.0,1.0000,0.3418,0.1667,0.0340,0.0085,0.0045,1.0000,0.0754,0.0714,0.0035,0.0053,0.0039
HIVE-131,HIVE,1.0,1.0000,0.0606,0.0833,0.0047,0.0077,0.0045,0.9614,0.2596,0.0526,0.0141,0.0045,0.0020
HIVE-340,HIVE,0.0,0.7071,0.0208,0.0909,0.0027,0.0080,0.0044, , , , , , 
HIVE-339,HIVE,0.0,1.0000,0.0588,0.0714,0.0039,0.0063,0.0044, , , , , , 
HIVE-124,HIVE,1.0,1.0000,0.0882,0.0833,0.0066,0.0089,0.0048,1.0000,0.4002,0.0909,0.0221,0.0043,0.0020
HIVE-320,HIVE,0.0,1.0000,0.0857,0.0714,0.0053,0.0065,0.0042,0.8944,0.1863,0.0606,0.0091,0.0042,0.0019
HIVE-285,HIVE,0.0,1.0000,0.3833,0.2000,0.0373,0.0067,0.0046,0.9959,0.2723,0.0769,0.0120,0.0041,0.0017
HIVE-347,HIVE,0.0,1.0000,0.0773,0.0769,0.0060,0.0073,0.0043,1.0000,0.1855,0.0569,0.0095,0.0049,0.0020
HIVE-319,HIVE,0.0,1.0000,0.0571,0.2000,0.0098,0.0099,0.0060,1.0000,0.0856,0.0476,0.0036,0.0050,0.0025
HIVE-342,HIVE,0.0,0.0000,0.0000,0.0000,0.0000,0.0137,0.0072,1.0000,0.1644,0.1000,0.0105,0.0053,0.0042
HIVE-132,HIVE,1.0,1.0000,0.1143,0.1000,0.0096,0.0087,0.0048,1.0000,0.2816,0.0407,0.0116,0.0046,0.0022
HIVE-278,HIVE,0.0,1.0000,0.1585,0.6000,0.0353,0.0083,0.0049,1.0000,0.2438,0.0678,0.0130,0.0048,0.0020
HIVE-318,HIVE,1.0,1.0000,0.0556,0.1538,0.0066,0.0068,0.0044,0.9987,0.2413,0.0385,0.0104,0.0036,0.0018
HIVE-356,HIVE,1.0,0.0000,0.0000,0.0000,0.0000,0.0083,0.0057,1.0000,0.0842,0.0313,0.0023,0.0050,0.0026
HIVE-373,HIVE,0.0,1.0000,0.0658,0.0714,0.0048,0.0077,0.0043, , , , , , 
HIVE-375,HIVE,0.0,0.0000,0.0000,0.0000,0.0000,0.0077,0.0044,1.0000,0.2419,0.0377,0.0081,0.0048,0.0021
HIVE-381,HIVE,0.0,0.0000,0.0000,0.0000,0.0000,0.0066,0.0042,1.0000,0.3622,0.0606,0.0098,0.0054,0.0023
HIVE-384,HIVE,1.0,1.0000,0.0395,0.1111,0.0053,0.0068,0.0047,1.0000,0.2706,0.1296,0.0119,0.0042,0.0018
HIVE-394,HIVE,0.0,1.0000,0.2729,0.1667,0.0267,0.0070,0.0041, , , , , , 
HIVE-385,HIVE,1.0,0.0000,0.0000,0.0000,0.0000,0.0068,0.0040,0.9449,0.2883,0.0385,0.0120,0.0039,0.0019
HIVE-387,HIVE,0.0,1.0000,0.3354,0.1000,0.0278,0.0080,0.0043,1.0000,0.3167,0.0593,0.0143,0.0063,0.0021
HIVE-399,HIVE,1.0,0.0000,0.0000,0.0000,0.0000,0.0092,0.0055,0.8165,0.1254,0.0382,0.0055,0.0040,0.0018
HIVE-393,HIVE,0.0,1.0000,0.0244,0.0625,0.0015,0.0107,0.0046, , , , , , 
HIVE-400,HIVE,0.0,0.0000,0.0000,0.0000,0.0000,0.0114,0.0075,1.0000,0.2609,0.0595,0.0110,0.0039,0.0016
HIVE-82,HIVE,1.0,0.0000,0.0000,0.0000,0.0000,0.0071,0.0044,1.0000,0.0244,0.0357,0.0009,0.0041,0.0032
HIVE-421,HIVE,1.0,1.0000,0.3243,0.3333,0.0394,0.0065,0.0043,0.1961,0.0047,0.0127,0.0003,0.0044,0.0034
HIVE-432,HIVE,0.0,1.0000,0.0862,0.0909,0.0072,0.0080,0.0045,1.0000,0.2248,0.0833,0.0118,0.0056,0.0023
HIVE-435,HIVE,0.0,0.0000,0.0000,0.0000,0.0000,0.0065,0.0045,0.0000,0.0000,0.0000,0.0000,0.0046,0.0037
HIVE-354,HIVE,0.0,0.0000,0.0000,0.0000,0.0000,0.0078,0.0048, , , , , , 
HIVE-324,HIVE,1.0,1.0000,0.1424,0.1818,0.0186,0.0084,0.0051,0.9998,0.2677,0.0635,0.0206,0.0048,0.0020
HIVE-366,HIVE,0.0,0.0000,0.0000,0.0000,0.0000,0.0084,0.0048,1.0000,0.1277,0.0690,0.0072,0.0052,0.0034
HIVE-376,HIVE,1.0,1.0000,0.2181,0.2727,0.0279,0.0063,0.0041,1.0000,0.3257,0.1250,0.0143,0.0040,0.0023
HIVE-254,HIVE,0.0,0.0000,0.0000,0.0000,0.0000,0.0072,0.0045,1.0000,0.2588,0.0769,0.0131,0.0042,0.0022
HIVE-395,HIVE,0.0,1.0000,0.0222,0.1000,0.0022,0.0066,0.0041,0.8165,0.0679,0.0571,0.0044,0.0037,0.0020
HIVE-164,HIVE,1.0,1.0000,0.0602,0.1000,0.0063,0.0090,0.0046,1.0000,0.0593,0.0513,0.0038,0.0053,0.0021
HIVE-456,HIVE,0.0,1.0000,0.0217,0.1667,0.0036,0.0083,0.0055,1.0000,0.3161,0.0488,0.0173,0.0043,0.0022
HIVE-462,HIVE,0.0,0.0000,0.0000,0.0000,0.0000,0.0077,0.0041,1.0000,0.1556,0.0390,0.0074,0.0042,0.0022
HIVE-420,HIVE,1.0,1.0000,0.1304,0.1250,0.0122,0.0112,0.0047,1.0000,0.2332,0.0870,0.0138,0.0044,0.0024
HIVE-464,HIVE,1.0,1.0000,0.1025,0.1333,0.0108,0.0077,0.0045,1.0000,0.0422,0.0500,0.0022,0.0056,0.0036
HIVE-453,HIVE,1.0,1.0000,0.2612,0.1000,0.0160,0.0089,0.0044,1.0000,0.2706,0.0755,0.0131,0.0038,0.0019
HIVE-463,HIVE,1.0,1.0000,0.1020,0.1429,0.0111,0.0067,0.0054,1.0000,0.2615,0.0732,0.0156,0.0051,0.0022
HIVE-442,HIVE,1.0,1.0000,0.0800,0.1000,0.0067,0.0096,0.0045,1.0000,0.2441,0.0556,0.0103,0.0047,0.0027
HIVE-476,HIVE,1.0,1.0000,0.0923,0.0909,0.0081,0.0078,0.0045,1.0000,0.2589,0.0741,0.0141,0.0050,0.0023
HIVE-488,HIVE,1.0,1.0000,0.3368,0.1818,0.0353,0.0085,0.0045,1.0000,0.2281,0.0455,0.0146,0.0048,0.0019
HIVE-410,HIVE,1.0,1.0000,0.2531,0.1000,0.0225,0.0080,0.0047,1.0000,0.2948,0.0638,0.0131,0.0049,0.0020
HIVE-496,HIVE,0.0,1.0000,0.0185,0.1111,0.0021,0.0123,0.0066,1.0000,0.0490,0.0938,0.0037,0.0049,0.0034
HIVE-498,HIVE,0.0,1.0000,0.0185,0.1000,0.0019,0.0079,0.0046,1.0000,0.1357,0.0508,0.0050,0.0046,0.0027
HIVE-499,HIVE,0.0,0.0000,0.0000,0.0000,0.0000,0.0082,0.0052,1.0000,0.0455,0.0385,0.0022,0.0041,0.0025
HIVE-502,HIVE,0.0,0.0000,0.0000,0.0000,0.0000,0.0122,0.0045,1.0000,0.3052,0.0625,0.0126,0.0047,0.0022
HIVE-505,HIVE,0.0,0.0000,0.0000,0.0000,0.0000,0.0115,0.0059,1.0000,0.3328,0.1290,0.0232,0.0047,0.0023
HIVE-507,HIVE,0.0,1.0000,0.3171,0.2500,0.0361,0.0064,0.0048,0.8660,0.0929,0.0417,0.0047,0.0051,0.0041
HIVE-204,HIVE,1.0,1.0000,0.0185,0.0833,0.0015,0.0075,0.0049,1.0000,0.2950,0.0465,0.0120,0.0054,0.0022
HIVE-467,HIVE,1.0,1.0000,0.1273,0.1000,0.0105,0.0073,0.0045,0.8783,0.3181,0.0641,0.0196,0.0047,0.0019
HIVE-511,HIVE,1.0,0.0000,0.0000,0.0000,0.0000,0.0094,0.0058,1.0000,0.0767,0.0517,0.0035,0.0049,0.0024
HIVE-509,HIVE,1.0,1.0000,0.0650,0.1111,0.0072,0.0076,0.0049,0.0000,0.0000,0.0000,0.0000,0.0156,0.0039
HIVE-514,HIVE,0.0,1.0000,0.1633,0.2500,0.0179,0.0077,0.0042,1.0000,0.2178,0.0698,0.0112,0.0043,0.0020
HIVE-523,HIVE,0.0,1.0000,0.2266,0.1111,0.0243,0.0080,0.0046,1.0000,0.1194,0.0714,0.0060,0.0062,0.0039
HIVE-506,HIVE,0.0,1.0000,0.2435,0.1250,0.0268,0.0105,0.0055,1.0000,0.2855,0.0400,0.0091,0.0040,0.0018
HIVE-495,HIVE,1.0,1.0000,0.1184,0.1333,0.0110,0.0084,0.0047,1.0000,0.0791,0.0345,0.0026,0.0048,0.0026
HIVE-479,HIVE,0.0,1.0000,0.0169,0.1250,0.0021,0.0090,0.0046,0.7071,0.0982,0.0256,0.0058,0.0046,0.0019
HIVE-534,HIVE,0.0,1.0000,0.0678,0.1111,0.0056,0.0088,0.0049,1.0000,0.0909,0.0588,0.0051,0.0047,0.0022
HIVE-532,HIVE,0.0,1.0000,0.2613,0.1000,0.0233,0.0098,0.0046,0.5774,0.0919,0.0625,0.0065,0.0036,0.0021
HIVE-540,HIVE,0.0,0.0000,0.0000,0.0000,0.0000,0.0086,0.0058,1.0000,0.1644,0.0526,0.0063,0.0045,0.0031
HIVE-528,HIVE,1.0,1.0000,0.0169,0.0833,0.0014,0.0100,0.0043,1.0000,0.0772,0.0345,0.0025,0.0078,0.0035
HIVE-470,HIVE,0.0,1.0000,0.1118,0.5000,0.0185,0.0087,0.0050,1.0000,0.0885,0.0417,0.0035,0.0040,0.0025
HIVE-557,HIVE,0.0,0.0000,0.0000,0.0000,0.0000,0.0096,0.0046,1.0000,0.1983,0.0556,0.0106,0.0048,0.0025
HIVE-529,HIVE,1.0,1.0000,0.0333,0.2727,0.0059,0.0100,0.0043,0.7071,0.0124,0.0476,0.0010,0.0074,0.0042
HIVE-542,HIVE,1.0,0.0000,0.0000,0.0000,0.0000,0.0194,0.0071,1.0000,0.2432,0.0595,0.0094,0.0047,0.0026
HIVE-338,HIVE,1.0,0.7071,0.0114,0.0667,0.0011,0.0083,0.0049,1.0000,0.0733,0.0417,0.0031,0.0043,0.0030
HIVE-567,HIVE,1.0,1.0000,0.0459,0.1000,0.0039,0.0068,0.0045,1.0000,0.1157,0.0417,0.0042,0.0054,0.0025
HIVE-573,HIVE,0.0,1.0000,0.0156,0.1250,0.0020,0.0138,0.0071,0.7071,0.0113,0.0385,0.0010,0.0061,0.0049
HIVE-472,HIVE,1.0,1.0000,0.2206,0.1111,0.0220,0.0156,0.0048, , , , , , 
HIVE-560,HIVE,1.0,1.0000,0.2553,0.2000,0.0314,0.0102,0.0048,1.0000,0.2198,0.0577,0.0114,1.0000,0.0173
HIVE-583,HIVE,0.0,1.0000,0.2398,0.1111,0.0245,0.0145,0.0047,1.0000,0.0666,0.0242,0.0020, , 
HIVE-530,HIVE,1.0,1.0000,0.0909,0.2727,0.0142,0.0100,0.0045,1.0000,0.0347,0.0345,0.0012,1.0000,0.0177
HIVE-574,HIVE,1.0,1.0000,0.1194,0.1429,0.0114,0.0177,0.0050,1.0000,0.2336,0.0714,0.0114,1.0000,0.0169
HIVE-582,HIVE,0.0,1.0000,0.2672,0.3636,0.0290,0.0063,0.0037,1.0000,0.2172,0.0526,0.0088,1.0000,0.0165
HIVE-445,HIVE,1.0,0.0000,0.0000,0.0000,0.0000,0.0184,0.0054,1.0000,0.1882,0.0556,0.0074,1.0000,0.0173
HIVE-590,HIVE,1.0,0.0000,0.0000,0.0000,0.0000,0.0092,0.0051,1.0000,0.3576,0.0519,0.0125,1.0000,0.0166
HIVE-593,HIVE,1.0,1.0000,0.0387,0.2000,0.0069,0.0079,0.0056,1.0000,0.1585,0.0857,0.0067,1.0000,0.0167
HIVE-461,HIVE,1.0,1.0000,0.1508,0.1818,0.0133,0.0114,0.0045,1.0000,0.2190,0.0377,0.0085,1.0000,0.0161
HIVE-608,HIVE,1.0,1.0000,0.0376,0.1667,0.0060,0.0081,0.0052,1.0000,0.2367,0.0714,0.0114,1.0000,0.0166
HIVE-610,HIVE,1.0,1.0000,0.0137,0.1000,0.0014,0.0087,0.0047,1.0000,0.0513,0.1111,0.0036,1.0000,0.0170
HIVE-612,HIVE,0.0,1.0000,0.0270,0.1111,0.0026,0.0072,0.0046,1.0000,0.0319,0.0667,0.0019,1.0000,0.0177
HIVE-553,HIVE,1.0,1.0000,0.1081,0.3333,0.0186,0.0082,0.0056,1.0000,0.3093,0.0533,0.0108,1.0000,0.0155
HIVE-616,HIVE,1.0,1.0000,0.1147,0.0909,0.0099,0.0076,0.0045,1.0000,0.3088,0.0667,0.0121,1.0000,0.0155
HIVE-623,HIVE,0.0,1.0000,0.0132,0.1000,0.0013,0.0107,0.0054,1.0000,0.0197,0.0435,0.0008,1.0000,0.0162
HIVE-160,HIVE,1.0,1.0000,0.0395,0.1429,0.0052,0.0109,0.0062, , , , , , 
HIVE-541,HIVE,1.0,0.0000,0.0000,0.0000,0.0000,0.0073,0.0051,1.0000,0.0884,0.0408,0.0033,1.0000,0.0282
HIVE-629,HIVE,1.0,1.0000,0.0641,0.2000,0.0075,0.0085,0.0049,1.0000,0.2674,0.0833,0.0138,1.0000,0.0277
HIVE-635,HIVE,1.0,1.0000,0.0380,0.0714,0.0027,0.0100,0.0046,1.0000,0.1193,0.0588,0.0049,1.0000,0.0277
HIVE-644,HIVE,0.0,1.0000,0.0588,0.0909,0.0049,0.0091,0.0047,1.0000,0.1219,0.0690,0.0050,1.0000,0.0282
HIVE-405,HIVE,1.0,0.0000,0.0000,0.0000,0.0000,0.0077,0.0056,1.0000,0.2909,0.0566,0.0150,1.0000,0.0270
HIVE-654,HIVE,0.0,1.0000,0.0123,0.1429,0.0018,0.0148,0.0066,1.0000,0.1069,0.0588,0.0052,1.0000,0.0268
HIVE-646,HIVE,1.0,1.0000,0.0864,0.0909,0.0061,0.0077,0.0044,1.0000,0.0370,0.1111,0.0027,1.0000,0.0295
HIVE-609,HIVE,1.0,1.0000,0.0122,0.1250,0.0015,0.0202,0.0068,1.0000,0.3058,0.0595,0.0140,1.0000,0.0262
HIVE-642,HIVE,1.0,1.0000,0.0120,0.1000,0.0012,0.0087,0.0055,1.0000,0.2393,0.0833,0.0112,1.0000,0.0278
HIVE-639,HIVE,1.0,1.0000,0.0560,0.0833,0.0040,0.0109,0.0046,1.0000,0.1593,0.0714,0.0068,1.0000,0.0266
HIVE-668,HIVE,1.0,1.0000,0.0990,0.2000,0.0150,0.0103,0.0068,1.0000,0.2123,0.0909,0.0098,1.0000,0.0257
HIVE-674,HIVE,1.0,1.0000,0.0465,0.2000,0.0060,0.0111,0.0067,1.0000,0.0698,0.3333,0.0091,1.0000,0.0293
HIVE-167,HIVE,1.0,1.0000,0.0230,0.2000,0.0037,0.0076,0.0051,1.0000,0.3856,0.0769,0.0181,1.0000,0.0258
HIVE-673,HIVE,1.0,0.0000,0.0000,0.0000,0.0000,0.0100,0.0056,1.0000,0.1564,0.0833,0.0075,1.0000,0.0265
HIVE-690,HIVE,0.0,0.0000,0.0000,0.0000,0.0000,0.0145,0.0073,1.0000,0.2172,0.0508,0.0103,1.0000,0.0245
HIVE-607,HIVE,1.0,1.0000,0.0192,0.1667,0.0029,0.0095,0.0057,1.0000,0.0449,0.0526,0.0019,1.0000,0.0245
HIVE-656,HIVE,0.0,1.0000,0.0967,0.1667,0.0133,0.0181,0.0050,1.0000,0.3246,0.0698,0.0146,1.0000,0.0243
HIVE-702,HIVE,0.0,1.0000,0.1935,0.0909,0.0161,0.0089,0.0045,1.0000,0.1050,0.0690,0.0058,1.0000,0.0254
HIVE-710,HIVE,1.0,1.0000,0.0222,0.1000,0.0021,0.0096,0.0048,1.0000,0.1153,0.0667,0.0058,1.0000,0.0250
HIVE-720,HIVE,0.0,1.0000,0.0330,0.1250,0.0032,0.0087,0.0048,1.0000,0.2262,0.0625,0.0078,1.0000,0.0241
HIVE-640,HIVE,1.0,1.0000,0.1099,0.5000,0.0228,0.0091,0.0060,1.0000,0.2417,0.0857,0.0128,1.0000,0.0243
HIVE-454,HIVE,0.0,1.0000,0.0652,0.1111,0.0069,0.0102,0.0051,1.0000,0.2615,0.0800,0.0145,1.0000,0.0247
HIVE-691,HIVE,1.0,1.0000,0.0109,0.1111,0.0012,0.0094,0.0049,1.0000,0.1875,0.0962,0.0124,1.0000,0.0240
HIVE-736,HIVE,1.0,1.0000,0.2333,0.3000,0.0288,0.0105,0.0048,1.0000,0.3368,0.0571,0.0143,1.0000,0.0237
HIVE-740,HIVE,1.0,1.0000,0.1321,0.1429,0.0097,0.0098,0.0046,1.0000,0.2504,0.0600,0.0086,1.0000,0.0235
HIVE-597,HIVE,0.0,1.0000,0.1876,0.1111,0.0190,0.0098,0.0048, , , , , , 
HIVE-743,HIVE,1.0,1.0000,0.0105,0.1000,0.0011,0.0114,0.0048,1.0000,0.0372,0.0667,0.0022,1.0000,0.0239
HIVE-693,HIVE,1.0,1.0000,0.0907,0.1250,0.0101,0.0107,0.0048, , , , , , 
HIVE-772,HIVE,0.0,1.0000,0.0309,0.1111,0.0031,0.0094,0.0048, , , , , , 
HIVE-732,HIVE,0.0,1.0000,0.1001,0.5000,0.0190,0.0150,0.0062,1.0000,0.2284,0.1220,0.0114,1.0000,0.0330
HIVE-769,HIVE,1.0,1.0000,0.0206,0.2000,0.0032,0.0098,0.0057,1.0000,0.1902,0.1333,0.0101,1.0000,0.0340
HIVE-782,HIVE,0.0,1.0000,0.0102,0.1111,0.0011,0.0101,0.0051,0.7071,0.0216,0.0417,0.0008,1.0000,0.0344
HIVE-679,HIVE,1.0,1.0000,0.0102,0.1000,0.0010,0.0084,0.0048,1.0000,0.1457,0.0789,0.0056,1.0000,0.0335
HIVE-708,HIVE,1.0,1.0000,0.0850,0.1667,0.0125,0.0096,0.0054,1.0000,0.2600,0.0606,0.0108,1.0000,0.0324
HIVE-777,HIVE,1.0,1.0000,0.0300,0.2857,0.0057,0.0099,0.0053,1.0000,0.2368,0.0588,0.0090,1.0000,0.0322
HIVE-794,HIVE,0.0,1.0000,0.0495,0.1818,0.0056,0.0080,0.0046,1.0000,0.2030,0.0750,0.0110,1.0000,0.0318
HIVE-798,HIVE,0.0,1.0000,0.0099,0.2000,0.0020,0.0086,0.0057,1.0000,0.1841,0.0909,0.0096,1.0000,0.0335
HIVE-755,HIVE,1.0,0.0000,0.0000,0.0000,0.0000,0.0109,0.0050,1.0000,0.2409,0.0769,0.0115,1.0000,0.0325
HIVE-785,HIVE,1.0,1.0000,0.0980,0.2000,0.0158,0.0103,0.0057,1.0000,0.1373,0.1250,0.0069,1.0000,0.0318
HIVE-752,HIVE,0.0,1.0000,0.0194,0.1000,0.0016,0.0088,0.0048,1.0000,0.2040,0.0441,0.0065,1.0000,0.0312
HIVE-810,HIVE,0.0,1.0000,0.0388,0.1429,0.0052,0.0089,0.0058,1.0000,0.3681,0.1111,0.0235,1.0000,0.0318
HIVE-811,HIVE,0.0,1.0000,0.0291,0.2500,0.0061,0.0307,0.0094,0.0000,0.0000,0.0000,0.0000,1.0000,0.0373
HIVE-812,HIVE,1.0,1.0000,0.1302,0.2000,0.0134,0.0082,0.0043,1.0000,0.2659,0.0800,0.0090,1.0000,0.0311
HIVE-813,HIVE,0.0,1.0000,0.0385,0.1250,0.0042,0.0078,0.0047,1.0000,0.0593,0.0526,0.0021,1.0000,0.0317
HIVE-816,HIVE,0.0,1.0000,0.1618,0.1250,0.0183,0.0085,0.0054,1.0000,0.1897,0.0820,0.0125,1.0000,0.0310
